CustomerID,CustomerName,gender,birthDate,contactNumber,Region,email,organization,taxCode,debt,retailerId,modifiedDate,createdDate
KH00001,Đo Hoang Anh,False,01-01-1970,84559607840,Hai Phong,đohoanganh@example.com,Doanh nghiep Hoa Binh,VN9293,6253.49,20,06-09-2024,13-01-2023
KH00002,Đo Hoang Anh,False,01-01-1970,84339104876,Hai Phong,đohoanganh@example.com,Doanh nghiep Hoa Binh,VN4635,526.94,71,04-01-2024,11-05-2023
KH00003,Bui Thi Lan,False,02-04-1974,84173415628,Hai Phong,buithilan@example.com,Cong ty Co phan Tech Viet,VN8622,1459.81,68,01-01-2024,31-01-2023
KH00004,Tran Thi Bich Ngoc,False,30-08-1973,84194147243,Can Tho,tranthibichngoc@example.com,Tap đoan XYZ,VN6021,5631.43,91,07-03-2024,04-02-2023
KH00005,Vu Minh Quan,False,01-01-1970,84858951192,Ha Noi,vuminhquan@example.com,Cong ty Co phan Tech Viet,VN3005,9095.17,1,01-01-2024,10-07-2023
KH00006,Đang Thi Hanh,True,01-01-1970,84283221354,Can Tho,đangthihanh@example.com,Doanh nghiep Hoa Binh,VN7733,7209.65,100,12-06-2024,26-04-2023
KH00007,Pham Thi Thanh Huong,False,01-01-1970,84940863759,Ho Chi Minh,phamthithanhhuong@example.com,Tap đoan XYZ,VN8525,6931.14,90,22-08-2024,08-11-2023
KH00008,Huynh Thi Thu Ha,False,28-07-1977,84368889297,Can Tho,huynhthithuha@example.com,Cong ty Co phan Tech Viet,VN4188,2778.83,28,01-01-2024,23-06-2023
KH00009,Phan Thi Mai,False,01-01-1970,84417027040,Can Tho,phanthimai@example.com,Cong ty TNHH ABC,VN9116,385.48,50,01-01-2024,06-10-2023
KH00010,Đang Thi Hanh,False,03-01-1995,84303917310,Đa Nang,đangthihanh@example.com,Cong ty TNHH ABC,VN2061,8128.02,34,01-01-2024,28-07-2023
KH00011,Nguyen Van An,False,01-01-1970,84316993249,Đa Nang,nguyenvanan@example.com,Cong ty Co phan Tech Viet,VN9594,2777.76,42,26-06-2024,15-03-2023
KH00012,Hoang Van Tien,False,01-01-1970,84850405481,Ho Chi Minh,hoangvantien@example.com,Doanh nghiep Hoa Binh,VN3240,7794.76,57,01-01-2024,21-11-2023
KH00013,Pham Thi Thanh Huong,True,27-07-1994,84708604033,Can Tho,phamthithanhhuong@example.com,Cong ty TNHH ABC,VN2854,4149.47,21,01-01-2024,22-09-2023
KH00014,Ly Thi Kim Chi,True,31-07-1976,84230020628,Can Tho,lythikimchi@example.com,Tap đoan XYZ,VN7731,1684.64,45,01-01-2024,26-11-2023
KH00015,Ngo Van Long,False,01-01-1970,84220859207,Ho Chi Minh,ngovanlong@example.com,Cong ty Co phan Tech Viet,VN4635,8613.83,24,23-06-2024,27-02-2023
KH00016,Tran Thi Bich Ngoc,False,01-01-1970,84639952107,Ho Chi Minh,tranthibichngoc@example.com,Cong ty Co phan Tech Viet,VN5881,7245.36,62,04-03-2024,11-02-2023
KH00017,Le Minh Hoang,True,01-01-1970,84321069438,Ha Noi,leminhhoang@example.com,Cong ty TNHH ABC,VN8504,3277.72,34,27-12-2023,11-06-2023
