customerid,customername,region,orderid,OrderDate,totalamount
KH00036,Cao Minh Tam,Can Tho,OD05241,2024-06-08,20
KH00675,Pham Thi Thanh Huong,Can Tho,OD04425,2024-01-16,60
KH00208,Ngo Van Long,Hai Phong,OD00959,2024-12-12,38
KH00280,Huynh Thi Thu Ha,Can Tho,OD02550,2024-08-25,48
KH00465,Phan Thi Mai,Hai Phong,OD03456,2024-03-17,94
KH00747,Tran Thi Bich Ngoc,Hai Phong,OD01594,2024-10-29,59
KH00569,Nguyen Van An,Ho Chi Minh,OD06054,2024-06-05,20
KH00242,Hoang Van Tien,Ha Noi,OD02943,2024-08-01,90
KH00858,Ðang Thi Hanh,Ha Noi,OD07635,2024-02-04,95
KH00918,Hoang Van Tien,Can Tho,OD03506,2024-04-01,65
KH00152,Le Minh Hoang,Ho Chi Minh,OD03596,2024-03-24,12
KH00098,Cao Minh Tam,Can Tho,OD03817,2024-11-01,15
KH00345,Tran Thi Bich Ngoc,Can Tho,OD03658,2024-11-29,44
KH00825,Hoang Van Tien,Can Tho,OD05042,2024-02-22,20
KH00717,Pham Thi Thanh Huong,Ho Chi Minh,OD00286,2024-12-11,24
KH00514,Ðang Thi Hanh,Ho Chi Minh,OD01951,2024-06-19,67
KH00579,Cao Minh Tam,Ho Chi Minh,OD04041,2024-06-07,68
KH00822,Le Minh Hoang,Hai Phong,OD02497,2024-03-13,92
KH00761,Ngo Van Long,Ða Nang,OD01708,2024-03-27,99
KH00315,Huynh Thi Thu Ha,Can Tho,OD02848,2024-03-16,74
KH00196,Bui Thi Lan,Ða Nang,OD03242,2024-08-26,36
KH00859,Le Minh Hoang,Hai Phong,OD03490,2024-05-11,38
KH00830,Ly Thi Kim Chi,Ða Nang,OD02886,2024-07-30,86
KH00018,Ngo Van Long,Ða Nang,OD06488,2024-09-21,32
KH00801,Ðang Thi Hanh,Ha Noi,OD03263,2024-10-19,30
KH00882,Bui Thi Lan,Ha Noi,OD07518,2024-10-15,81
KH00055,Vu Minh Quan,Hai Phong,OD01226,2024-01-04,4
KH00554,Le Minh Hoang,Can Tho,OD04093,2024-08-08,4
KH00992,Ðang Thi Hanh,Ho Chi Minh,OD02549,2024-06-11,57
KH00485,Hoang Van Tien,Ha Noi,OD03885,2024-11-09,68
KH00293,Cao Minh Tam,Ha Noi,OD07071,2024-03-12,70
KH00019,Bui Thi Lan,Ho Chi Minh,OD07301,2024-08-24,58
KH00434,Hoang Van Tien,Can Tho,OD03634,2024-05-29,86
KH00797,Hoang Van Tien,Ha Noi,OD06971,2024-08-17,55
KH00217,Ngo Van Long,Ho Chi Minh,OD06935,2024-05-04,46
KH00005,Vu Minh Quan,Ha Noi,OD03680,2024-04-27,17
KH00165,Tran Thi Bich Ngoc,Ða Nang,OD05504,2024-08-22,41
KH00051,Bui Thi Lan,Ha Noi,OD02822,2024-10-07,90
KH00926,Phan Thi Mai,Ða Nang,OD05749,2024-10-29,33
KH00211,Bui Thi Lan,Ho Chi Minh,OD07757,2024-02-05,65
KH00740,Tran Thi Bich Ngoc,Ða Nang,OD07764,2024-08-17,78
KH00994,Ðo Hoang Anh,Can Tho,OD03199,2024-12-12,36
KH00391,Ngo Van Long,Ða Nang,OD00196,2024-03-23,76
KH00543,Bui Thi Lan,Ho Chi Minh,OD04266,2023-12-26,8
KH00237,Ly Thi Kim Chi,Ða Nang,OD06078,2024-08-24,82
KH00545,Bui Thi Lan,Ha Noi,OD01075,2024-10-30,63
KH00426,Pham Thi Thanh Huong,Ða Nang,OD05446,2024-06-01,4
KH00808,Le Minh Hoang,Hai Phong,OD01685,2024-10-04,100
KH00121,Bui Thi Lan,Ða Nang,OD03548,2023-12-24,65
KH00017,Le Minh Hoang,Ha Noi,OD01386,2024-11-26,79
KH00700,Ðo Hoang Anh,Hai Phong,OD02765,2024-11-01,25
KH00329,Ðo Hoang Anh,Ða Nang,OD04483,2024-11-15,34
KH00398,Ðo Hoang Anh,Ho Chi Minh,OD04387,2024-05-12,87
KH00066,Hoang Van Tien,Ho Chi Minh,OD04507,2024-06-20,83
KH00710,Cao Minh Tam,Ho Chi Minh,OD03770,2024-09-22,98
KH00705,Nguyen Van An,Ho Chi Minh,OD04824,2024-05-20,12
KH00828,Cao Minh Tam,Can Tho,OD01090,2024-10-16,57
KH00064,Bui Thi Lan,Ha Noi,OD01715,2024-11-20,7
KH00417,Ðang Thi Hanh,Hai Phong,OD06432,2024-12-14,85
KH00385,Ðang Thi Hanh,Can Tho,OD00394,2024-06-05,38
KH00373,Ðang Thi Hanh,Ha Noi,OD00629,2024-01-07,27
KH00802,Ly Thi Kim Chi,Hai Phong,OD05215,2024-09-22,92
KH00800,Nguyen Van An,Ha Noi,OD01658,2024-05-19,68
KH00746,Le Minh Hoang,Can Tho,OD03521,2024-08-25,12
KH00272,Bui Thi Lan,Ha Noi,OD02817,2024-02-16,78
KH00267,Cao Minh Tam,Can Tho,OD03752,2024-06-14,80
KH00677,Vu Minh Quan,Ha Noi,OD07452,2024-08-22,26
KH00940,Ly Thi Kim Chi,Ða Nang,OD07137,2024-01-14,92
KH00956,Bui Thi Lan,Ha Noi,OD04922,2024-11-03,49
KH00634,Le Minh Hoang,Ða Nang,OD00405,2024-02-08,84
KH00500,Cao Minh Tam,Ha Noi,OD05299,2024-05-12,98
KH00322,Bui Thi Lan,Hai Phong,OD05823,2024-07-08,63
KH00456,Ly Thi Kim Chi,Ha Noi,OD00458,2024-06-29,45
KH00762,Ngo Van Long,Ða Nang,OD07381,2024-12-01,87
KH00260,Tran Thi Bich Ngoc,Ho Chi Minh,OD06883,2024-09-30,78
KH00695,Tran Thi Bich Ngoc,Ha Noi,OD05782,2024-10-27,90
KH00635,Ðo Hoang Anh,Ho Chi Minh,OD04334,2024-12-06,91
KH00671,Nguyen Van An,Can Tho,OD05132,2024-04-09,53
KH00596,Ðo Hoang Anh,Ða Nang,OD02342,2024-10-28,9
KH00996,Bui Thi Lan,Hai Phong,OD02866,2024-04-15,56
KH00897,Ðo Hoang Anh,Hai Phong,OD05813,2024-07-06,63
KH00703,Ðang Thi Hanh,Ða Nang,OD03989,2024-02-26,31
KH00879,Vu Minh Quan,Ða Nang,OD06626,2024-02-03,4
KH00528,Huynh Thi Thu Ha,Ha Noi,OD07664,2024-10-13,63
KH00916,Le Minh Hoang,Ho Chi Minh,OD06267,2024-11-19,51
KH00843,Cao Minh Tam,Ha Noi,OD04402,2024-01-31,33
KH00737,Ðang Thi Hanh,Ho Chi Minh,OD02715,2024-08-30,28
KH00195,Ngo Van Long,Can Tho,OD07295,2024-06-03,28
KH00574,Ðang Thi Hanh,Ða Nang,OD04703,2024-12-12,67
KH00754,Ðang Thi Hanh,Can Tho,OD03132,2024-08-13,7
KH00624,Vu Minh Quan,Ða Nang,OD07465,2024-06-24,53
KH00097,Ðang Thi Hanh,Ha Noi,OD04597,2024-09-16,9
KH00174,Tran Thi Bich Ngoc,Ha Noi,OD00329,2024-04-13,2
KH00307,Cao Minh Tam,Ha Noi,OD05594,2024-11-09,61
KH00071,Cao Minh Tam,Ha Noi,OD07011,2024-08-06,36
KH00839,Huynh Thi Thu Ha,Hai Phong,OD02653,2024-05-30,14
KH00632,Vu Minh Quan,Can Tho,OD06435,2024-01-08,29
KH00937,Tran Thi Bich Ngoc,Ha Noi,OD01627,2024-05-28,70
KH00531,Cao Minh Tam,Can Tho,OD05740,2024-01-14,70
KH00232,Hoang Van Tien,Ho Chi Minh,OD01615,2024-03-25,33
KH00411,Nguyen Van An,Ho Chi Minh,OD01596,2024-04-06,95
KH00368,Huynh Thi Thu Ha,Ha Noi,OD07517,2024-12-09,81
KH00742,Ly Thi Kim Chi,Ða Nang,OD02432,2024-02-22,84
KH00160,Tran Thi Bich Ngoc,Ho Chi Minh,OD07706,2024-03-17,29
